"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","81,800.0","82,000.0","82,400.0","77,300.0","2.82M","-0.24%"
"10/28/2022","82,000.0","81,500.0","84,000.0","80,500.0","2.18M","1.61%"
"10/27/2022","80,700.0","75,000.0","80,700.0","75,000.0","2.23M","6.89%"
"10/26/2022","75,500.0","78,000.0","78,300.0","75,300.0","837.40K","-1.95%"
"10/25/2022","77,000.0","75,100.0","78,500.0","72,500.0","1.67M","3.36%"
"10/24/2022","74,500.0","74,000.0","77,800.0","72,000.0","2.13M","1.64%"
"10/21/2022","73,300.0","78,700.0","78,800.0","73,300.0","3.68M","-6.98%"
"10/20/2022","78,800.0","79,800.0","81,000.0","78,400.0","1.09M","-2.48%"
"10/19/2022","80,800.0","78,200.0","81,300.0","77,400.0","2.07M","3.59%"
"10/18/2022","78,000.0","81,500.0","81,500.0","76,800.0","1.72M","-2.26%"
"10/17/2022","79,800.0","78,100.0","80,200.0","76,000.0","2.51M","2.31%"
"10/14/2022","78,000.0","74,100.0","78,000.0","73,300.0","2.93M","7.00%"
"10/13/2022","72,900.0","70,500.0","73,300.0","70,300.0","1.94M","4.14%"
"10/12/2022","70,000.0","66,000.0","70,000.0","66,000.0","2.02M","6.87%"
"10/11/2022","65,500.0","68,300.0","69,400.0","64,300.0","1.81M","-3.53%"
"10/10/2022","67,900.0","61,100.0","67,900.0","61,100.0","1.51M","6.93%"
"10/07/2022","63,500.0","66,600.0","66,600.0","62,800.0","1.83M","-5.22%"
"10/06/2022","67,000.0","71,800.0","71,800.0","66,500.0","1.56M","-5.63%"
"10/05/2022","71,000.0","68,600.0","71,500.0","68,000.0","1.08M","5.97%"
"10/04/2022","67,000.0","69,900.0","70,500.0","66,400.0","1.28M","-1.76%"
"10/03/2022","68,200.0","72,500.0","72,900.0","68,200.0","1.35M","-6.96%"
"09/30/2022","73,300.0","70,000.0","73,500.0","66,300.0","2.32M","3.24%"
"09/29/2022","71,000.0","75,000.0","75,600.0","70,500.0","1.64M","-3.01%"
"09/28/2022","73,200.0","77,400.0","79,000.0","73,200.0","2.65M","-6.99%"
"09/27/2022","78,700.0","80,000.0","80,500.0","78,700.0","1.25M","-1.01%"
"09/26/2022","79,500.0","82,700.0","84,000.0","79,500.0","4.08M","-6.91%"
"09/23/2022","85,400.0","86,700.0","87,000.0","85,000.0","745.60K","-1.50%"
"09/22/2022","86,700.0","83,600.0","86,900.0","83,200.0","1.44M","2.24%"
"09/21/2022","84,800.0","85,000.0","86,400.0","84,100.0","664.80K","-1.97%"
"09/20/2022","86,500.0","85,000.0","86,500.0","81,700.0","1.58M","2.98%"
"09/19/2022","84,000.0","88,100.0","88,500.0","83,500.0","2.56M","-4.87%"
"09/16/2022","88,300.0","90,600.0","91,000.0","87,500.0","1.83M","-2.97%"
"09/15/2022","91,000.0","92,100.0","92,500.0","91,000.0","1.22M","-0.76%"
"09/14/2022","91,700.0","88,800.0","91,900.0","88,800.0","1.96M","0.55%"
"09/13/2022","91,200.0","92,000.0","92,000.0","90,400.0","1.21M","-0.76%"
"09/12/2022","91,900.0","89,000.0","93,500.0","88,300.0","3.14M","4.20%"
"09/09/2022","88,200.0","87,400.0","88,200.0","85,800.0","976.70K","2.32%"
"09/08/2022","86,200.0","86,600.0","87,900.0","84,100.0","1.76M","1.41%"
"09/07/2022","85,000.0","90,200.0","90,800.0","85,000.0","3.61M","-6.39%"
"09/06/2022","90,800.0","91,500.0","92,000.0","90,300.0","1.91M","-1.09%"
"09/05/2022","91,800.0","92,000.0","92,800.0","91,000.0","1.62M","0.88%"
"08/31/2022","91,000.0","88,100.0","91,800.0","88,100.0","2.17M","2.25%"
"08/30/2022","89,000.0","89,000.0","91,300.0","88,600.0","1.72M","0.45%"
"08/29/2022","88,600.0","87,200.0","89,200.0","83,800.0","3.03M","-0.45%"
