"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","1,027.94","1,028.24","1,030.32","1,005.00","662.04K","0.06%"
"10/28/2022","1,027.36","1,028.01","1,044.57","1,026.53","654.70K","-0.06%"
"10/27/2022","1,028.01","993.36","1,028.01","990.48","647.72K","3.49%"
"10/26/2022","993.36","997.70","1,004.55","984.71","448.28K","-0.44%"
"10/25/2022","997.70","986.15","1,011.39","962.45","751.18K","1.17%"
"10/24/2022","986.15","1,019.82","1,023.51","977.41","654.95K","-3.30%"
"10/21/2022","1,019.82","1,058.45","1,059.09","1,013.69","742.10K","-3.65%"
"10/20/2022","1,058.45","1,056.14","1,065.28","1,048.21","398.33K","-0.15%"
"10/19/2022","1,060.07","1,063.66","1,065.99","1,052.29","400.66K","-0.34%"
"10/18/2022","1,063.66","1,051.58","1,071.74","1,051.58","514.84K","1.15%"
"10/17/2022","1,051.58","1,061.85","1,061.85","1,033.59","497.42K","-0.97%"
"10/14/2022","1,061.85","1,050.99","1,068.12","1,050.99","641.48K","1.03%"
"10/13/2022","1,050.99","1,034.81","1,050.99","1,025.04","477.33K","1.56%"
"10/12/2022","1,034.81","1,006.20","1,039.44","1,002.89","616.14K","2.84%"
"10/11/2022","1,006.20","1,042.48","1,042.48","998.64","672.10K","-3.48%"
"10/10/2022","1,042.48","1,035.91","1,051.02","1,012.94","692.98K","0.63%"
"10/07/2022","1,035.91","1,074.52","1,074.52","1,022.38","877.31K","-3.59%"
"10/06/2022","1,074.52","1,104.26","1,106.97","1,072.57","545.82K","-2.69%"
"10/05/2022","1,104.26","1,078.14","1,110.21","1,078.14","451.94K","2.42%"
"10/04/2022","1,078.14","1,086.44","1,100.42","1,069.74","582.82K","-0.76%"
"10/03/2022","1,086.44","1,132.11","1,132.11","1,079.86","554.15K","-4.03%"
"09/30/2022","1,132.11","1,126.07","1,135.47","1,099.44","729.67K","0.54%"
"09/29/2022","1,126.07","1,143.62","1,159.49","1,126.07","491.47K","-1.53%"
"09/28/2022","1,143.62","1,166.54","1,166.54","1,142.79","527.70K","-1.96%"
"09/27/2022","1,166.54","1,174.35","1,180.75","1,166.44","466.62K","-0.67%"
"09/26/2022","1,174.35","1,203.28","1,203.28","1,159.12","757.09K","-2.40%"
"09/23/2022","1,203.28","1,214.70","1,216.59","1,201.45","485.38K","-0.94%"
"09/22/2022","1,214.70","1,210.55","1,214.70","1,196.64","473.56K","0.34%"
"09/21/2022","1,210.55","1,218.93","1,218.93","1,204.68","391.71K","-0.69%"
"09/20/2022","1,218.93","1,212.08","1,218.93","1,199.71","473.89K","1.12%"
"09/19/2022","1,205.43","1,234.03","1,234.03","1,202.07","701.96K","-2.32%"
"09/16/2022","1,234.03","1,245.66","1,246.17","1,230.37","632.37K","-0.93%"
"09/15/2022","1,245.66","1,240.77","1,250.93","1,240.77","429.84K","0.39%"
"09/14/2022","1,240.77","1,248.40","1,248.40","1,228.51","607.86K","-0.61%"
"09/13/2022","1,248.40","1,249.62","1,252.35","1,243.87","473.97K","-0.10%"
"09/12/2022","1,249.62","1,248.78","1,257.80","1,248.78","410.19K","0.07%"
"09/09/2022","1,248.78","1,234.60","1,248.78","1,228.54","586.03K","1.15%"
"09/08/2022","1,234.60","1,243.17","1,251.36","1,234.60","599.61K","-0.69%"
"09/07/2022","1,243.17","1,277.40","1,277.40","1,243.17","852.27K","-2.68%"
"09/06/2022","1,277.40","1,279.58","1,286.92","1,277.40","581.46K","0.00%"
"09/05/2022","1,277.35","1,280.51","1,285.70","1,275.35","524.68K","-0.25%"
"08/31/2022","1,280.51","1,279.39","1,285.29","1,274.99","499.31K","0.09%"
"08/30/2022","1,279.39","1,270.80","1,287.65","1,270.80","526.10K","0.68%"
"08/29/2022","1,270.80","1,282.57","1,282.57","1,249.17","845.90K","-0.92%"
"08/26/2022","1,282.57","1,291.29","1,295.12","1,280.05","668.96K","-0.49%"
"08/25/2022","1,288.88","1,277.16","1,289.18","1,277.16","623.97K","0.92%"
"08/24/2022","1,277.16","1,270.81","1,280.36","1,270.81","601.89K","0.50%"
"08/23/2022","1,270.81","1,260.43","1,270.81","1,253.45","564.72K","0.82%"
"08/22/2022","1,260.43","1,269.18","1,270.57","1,255.83","619.45K","-0.69%"
"08/19/2022","1,269.18","1,273.66","1,280.00","1,263.45","607.62K","-0.35%"
"08/18/2022","1,273.66","1,275.28","1,283.15","1,268.64","599.08K","-0.13%"
"08/17/2022","1,275.28","1,274.69","1,280.61","1,271.97","712.25K","0.05%"
"08/16/2022","1,274.69","1,274.20","1,275.93","1,271.11","617.72K","0.04%"
"08/15/2022","1,274.20","1,262.33","1,274.24","1,262.33","634.20K","0.94%"
"08/12/2022","1,262.33","1,252.07","1,262.33","1,248.65","542.04K","0.82%"
"08/11/2022","1,252.07","1,256.50","1,268.03","1,245.85","810.55K","-0.35%"
"08/10/2022","1,256.50","1,258.85","1,260.36","1,253.89","651.76K","-0.19%"
"08/09/2022","1,258.85","1,256.75","1,263.14","1,252.84","721.64K","0.17%"
"08/08/2022","1,256.75","1,252.36","1,258.84","1,252.04","699.34K","0.32%"
"08/05/2022","1,252.74","1,250.25","1,253.75","1,245.05","698.64K","-0.11%"
"08/04/2022","1,254.15","1,249.76","1,257.38","1,247.38","724.75K","0.35%"
"08/03/2022","1,249.76","1,241.62","1,250.20","1,232.41","789.52K","0.66%"
"08/02/2022","1,241.62","1,231.35","1,241.91","1,224.11","817.69K","0.83%"
"08/01/2022","1,231.35","1,206.33","1,231.35","1,206.33","708.71K","2.07%"
